Node ID,Label,Parent,Children,Synonyms
http://identifiers.org/hgnc/7,A2M,gene,,
https://purl.org/ccf/ASCTB-TEMP_abc10-43608400o15-1,ABC10-43608400O15.1,gene,,
http://identifiers.org/hgnc/29,ABCA1,gene,,
http://identifiers.org/hgnc/14638,ABCA13,gene,,
http://identifiers.org/hgnc/33,ABCA3,gene,,
http://identifiers.org/hgnc/34,ABCA4,gene,,
http://identifiers.org/hgnc/38,ABCA8,gene,,
http://identifiers.org/hgnc/60,ABCC9,gene,,
http://identifiers.org/hgnc/74,ABCG2,gene,,
http://identifiers.org/hgnc/17265,ABI3BP,gene,,
http://identifiers.org/hgnc/78,ABLIM1,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac002066-1,AC002066.1,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac003099-2,AC003099.2,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac004538-3,AC004538.3,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac004862-6,AC004862.6,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac005150-1,AC005150.1,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac007682-1,AC007682.1,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac010091-1,AC010091.1,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac011288-2,AC011288.2,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac018717-1,AC018717.1,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac064875-2,AC064875.2,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac067959-1,AC067959.1,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac079135-1,AC079135.1,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac084149-2,AC084149.2,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac092684-1,AC092684.1,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac114765-1,AC114765.1,gene,,
https://purl.org/ccf/ASCTB-TEMP_ac133680-1,AC133680.1,gene,,
http://identifiers.org/hgnc/319,ACAN,gene,,
http://identifiers.org/hgnc/4035,ACKR1,gene,,"ACKR1+, DARC"
https://purl.org/ccf/ASCTB-TEMP_ackr1,ACKR1,gene,,
http://identifiers.org/hgnc/1611,ACKR4,gene,,
http://identifiers.org/hgnc/125,ACPP,gene,,ACP3
http://identifiers.org/hgnc/32017,ACSM2A,gene,,
http://identifiers.org/hgnc/129,ACTA1,gene,,
http://identifiers.org/hgnc/130,ACTA2,protein,,"Actin, smooth muscle, Alpha smooth muscle actin, Smooth Muscle Actin, aSMA, actin alpha 2, smooth muscle"
https://purl.org/ccf/ASCTB-TEMP_acta2,ACTA2,gene,,
http://identifiers.org/hgnc/45169,ACTA2-AS1,gene,,
http://identifiers.org/hgnc/144,ACTG1,protein,,
http://identifiers.org/hgnc/145,ACTG2,gene,,
https://purl.org/ccf/ASCTB-TEMP_actg2,ACTG2,gene,,
http://identifiers.org/hgnc/163,ACTN1,gene,,
http://identifiers.org/hgnc/18123,ACVR1C,gene,,
http://identifiers.org/hgnc/108,AChE,protein,,ACHE
http://identifiers.org/hgnc/186,ADA,gene,,
http://identifiers.org/hgnc/206,ADAM28,gene,,
http://identifiers.org/hgnc/15478,ADAM33,gene,,
http://identifiers.org/hgnc/14605,ADAMTS12,gene,,
http://identifiers.org/hgnc/17108,ADAMTS16,gene,,
http://identifiers.org/hgnc/17109,ADAMTS17,gene,,
http://identifiers.org/hgnc/17178,ADAMTS20,gene,,
http://identifiers.org/hgnc/219,ADAMTS3,gene,,
http://identifiers.org/hgnc/221,ADAMTS5,gene,,
http://identifiers.org/hgnc/222,ADAMTS6,gene,,
http://identifiers.org/hgnc/42435,ADAMTS9-AS2,gene,,
http://identifiers.org/hgnc/14632,ADAMTSL1,gene,,
http://identifiers.org/hgnc/227,ADARB2,gene,,
http://identifiers.org/hgnc/234,ADCY3,gene,,
http://identifiers.org/hgnc/245,ADD3,gene,,
http://identifiers.org/hgnc/48682,ADD3-AS1,gene,,
http://identifiers.org/hgnc/18651,ADGRD2,gene,,
http://identifiers.org/hgnc/3336,ADGRE1,protein,,
http://identifiers.org/hgnc/13841,ADGRG6,gene,,
http://identifiers.org/hgnc/20822,ADGRL4,gene,,
http://identifiers.org/hgnc/24040,ADIPOR1,gene,,
http://identifiers.org/hgnc/277,ADRA1A,gene,,
http://identifiers.org/hgnc/281,ADRA2A,gene,,
https://purl.org/ccf/ASCTB-TEMP_ae000661-37,AE000661.37,gene,,
http://identifiers.org/hgnc/307,AES,gene,,TLE5
http://identifiers.org/hgnc/320,AGER,gene,,
http://identifiers.org/hgnc/328,AGR2,protein,,
http://identifiers.org/hgnc/348,AHR+,gene,,AHR
http://identifiers.org/hgnc/18075,AHSP,gene,,
http://identifiers.org/hgnc/13203,AICDA,gene,,AICDA+
http://identifiers.org/hgnc/352,AIF1,protein,,"IBA1, allograft inflammatory factor 1"
http://identifiers.org/hgnc/21411,AIFM2,gene,,
http://identifiers.org/hgnc/360,AIRE,protein,,
https://purl.org/ccf/ASCTB-TEMP_aj006995-3,AJ006995.3,gene,,
https://purl.org/ccf/ASCTB-TEMP_aj006998-2,AJ006998.2,gene,,
http://identifiers.org/hgnc/384,AKR1C1,gene,,
http://identifiers.org/hgnc/397,ALAS2,gene,,
https://purl.org/ccf/ASCTB-TEMP_aldh,ALDH,protein,,
http://identifiers.org/hgnc/15472,ALDH1A2,gene,,
http://identifiers.org/hgnc/409,ALDH1A3,gene,,
http://identifiers.org/hgnc/404,ALDH2,gene,,
http://identifiers.org/hgnc/417,ALDOB,gene,,
http://identifiers.org/hgnc/30881,ALG13,gene,,
http://identifiers.org/hgnc/427,ALK,gene,,
http://identifiers.org/hgnc/27683,ALKAL2,gene,,
